,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,0.16582982671997132,0.40722208525566406,0.35416925360714613,0.3264058727798249,0.41271098787739185,0.01136782734396709,0.0009980201721191406,0.0,0.020940780639648438,{}
Ridge,0.16603943573836188,0.40747936848184335,0.35490880758434784,0.32555444932607747,0.4124895652229779,0.010943493407275438,0.0009980201721191406,0.0,0.0857706069946289,"{'alpha': 10.0, 'solver': 'auto'}"
Lasso,0.19433136987391456,0.4408303186872638,0.4225449688440968,0.21063374381518418,0.43603340186456085,0.004195782868522309,0.0009982585906982422,0.0,0.05285763740539551,"{'alpha': 0.1, 'selection': 'random'}"
KNN,0.09460289073006285,0.3075758292357559,0.1600712664435915,0.615726839530323,0.3122465606928861,0.023005326122936688,0.001992464065551758,0.007978200912475586,0.26927757263183594,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
Decision Tree,0.16569617222719102,0.40705794701392456,0.21153481312843866,0.32694877198676575,0.40708484933377714,0.011010366205734694,0.005983591079711914,0.0,0.561244010925293,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}"
Random Forest,0.09723691536079165,0.3118283427797923,0.22438485739581354,0.6050275367733569,0.3232769016282039,0.012164009261304001,0.5622444152832031,0.013963699340820312,73.91830277442932,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,0.10088447213913004,0.3176231605836231,0.1823584421499342,0.5902113069479475,0.3166305875635761,0.017830545444611566,1.3993711471557617,0.005952596664428711,29.025752782821655,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
XGBoost,0.09713725646878904,0.31166850413346076,0.18193109141592217,0.6054323315620422,0.3121820280605295,0.015890148414436776,0.2368779182434082,0.000997304916381836,10.256741523742676,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
LightGBM,0.0970157255505893,0.31147347487481064,0.17541167685578551,0.6059260009405109,0.3037767433745075,0.0200050663627804,0.345447301864624,0.005982398986816406,32.17144227027893,"{'learning_rate': 0.05, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,0.08401561295756478,0.28985446858305425,0.16974326293482053,0.6587319386241431,0.29187691414715206,0.012302897739394492,3.8567657470703125,0.00797891616821289,96.38069105148315,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.1}"
MLP,0.1463124353776857,0.3825080853755718,0.31893833674757227,0.4056847362198853,0.3958805789991519,0.012051006724510595,1.7047858238220215,0.0,153.55062866210938,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.24239501357078552,0.4923362731933594,0.4916023910045624,0.015401065349578857,0.49256739020347595,0.0036987923085689545,22.194649934768677,0.0019893646240234375,237.25760769844055,"{'hidden_dim_0': 67, 'hidden_dim_1': 209, 'hidden_dim_2': 186, 'learning_rate': 0.0005062369173068932, 'batch_size': 32, 'num_epochs': 98}"
DCN,0.1190446987748146,0.3450285494327545,0.21175983548164368,0.5164451599121094,0.3653707504272461,0.018835363909602165,17.511759996414185,0.0019943714141845703,221.5040955543518,"{'cross_layers': 1, 'hidden_layer_0': 196, 'hidden_layer_1': 249, 'hidden_layer_2': 68, 'learning_rate': 0.00044561653855532455, 'batch_size': 32, 'num_epochs': 56}"
Wide_and_Deep,0.12446354329586029,0.3527939021587372,0.2604428231716156,0.49443405866622925,0.36829644441604614,0.01414566021412611,7.000018358230591,0.0009975433349609375,133.936096906662,"{'hidden_layer_0': 188, 'hidden_layer_1': 56, 'hidden_layer_2': 229, 'learning_rate': 0.011217252871741686, 'batch_size': 64, 'num_epochs': 47}"
XGBoost + NN,0.24988476932048798,0.4998847544193268,0.4998839199542999,-0.015022039413452148,0.49851250648498535,0.003219363046810031,1.850994348526001,0.0,61.186020374298096,"{'n_estimators': 182, 'max_depth': 3, 'xgb_learning_rate': 0.00013270049513760998, 'subsample': 0.7607031298873954, 'colsample_bytree': 0.9010416030180706, 'use_hidden_layer_0': False, 'use_hidden_layer_1': True, 'hidden_layer_1': 182, 'use_hidden_layer_2': True, 'hidden_layer_2': 124, 'nn_learning_rate': 0.027566674367539633, 'batch_size': 128, 'num_epochs': 19}"
LightGBM + NN,0.12817269563674927,0.3580121397972107,0.23314037919044495,0.47936761379241943,0.3748663067817688,0.010758495889604092,13.933635711669922,0.004987478256225586,158.17645025253296,"{'n_estimators': 82, 'max_depth': 9, 'lgb_learning_rate': 0.005325833112033781, 'num_leaves': 50, 'subsample': 0.9910028086219305, 'colsample_bytree': 0.7026338189054993, 'hidden_layer_0': 241, 'hidden_layer_1': 156, 'hidden_layer_2': 160, 'nn_learning_rate': 0.00010955500700438628, 'batch_size': 32, 'num_epochs': 50}"
AutoInt + NN,0.1265990138053894,0.3558075428009033,0.1856038123369217,0.4857598543167114,0.3605940341949463,0.0234412532299757,7.728424072265625,0.0009937286376953125,197.83055448532104,"{'num_heads': 6, 'embedding_dim': 42, 'num_layers': 2, 'hidden_layer_0': 60, 'hidden_layer_1': 151, 'hidden_layer_2': 94, 'nn_learning_rate': 0.004707058164853781, 'batch_size': 64, 'num_epochs': 57}"
FT-Transformer,0.24706368148326874,0.4970549941062927,0.49665236473083496,-0.00356292724609375,0.5002608299255371,0.0035688811913132668,1.931330680847168,0.0009965896606445312,269.1089565753937,"{'num_heads': 6, 'embedding_dim': 12, 'num_layers': 2, 'hidden_layer_0': 210, 'hidden_layer_1': 248, 'hidden_layer_2': 53, 'nn_learning_rate': 0.0006535752816068212, 'batch_size': 64, 'num_epochs': 11}"
Neural Architecture Search,0.23747362196445465,0.4873126447200775,0.48545506596565247,0.03539150953292847,0.4928897023200989,0.0034370264038443565,22.167225122451782,0.0009984970092773438,284.03960132598877,"{'num_layers': 3, 'hidden_layer_0': 219, 'hidden_layer_1': 86, 'hidden_layer_2': 169, 'learning_rate': 0.0001456696578628218, 'batch_size': 32, 'num_epochs': 87}"
KAN,0.12427426874637604,0.3525255620479584,0.2753011882305145,0.49520283937454224,0.38577431440353394,0.016015879809856415,3.668779134750366,0.0,51.54732394218445,"{'hidden_dim': 170, 'learning_rate': 0.003841550556783301, 'batch_size': 128, 'num_epochs': 80}"
NODE,0.15999624133110046,0.3999952971935272,0.2912181317806244,0.3501015901565552,0.40124446153640747,0.028457293286919594,9.634621381759644,0.008973836898803711,176.65046763420105,"{'num_layers': 3, 'num_trees': 6, 'tree_dim': 24, 'learning_rate': 0.024983238244876686, 'batch_size': 128, 'num_epochs': 52}"
TabNet,0.16068359753626474,0.40085358615866806,0.3358126070751137,0.34730958938598633,0.4213328718931019,0.010126069951771144,11.489278078079224,0.061833858489990234,228.99920845031738,"{'n_d': 25, 'n_a': 40, 'n_steps': 3, 'gamma': 1.8360381621948, 'lambda_sparse': 0.0006625234111109014, 'learning_rate': 0.03641967748838744, 'batch_size': 256, 'num_epochs': 24}"
SAINT,0.18081021308898926,0.4252178370952606,0.34678658843040466,0.26555609703063965,0.4525209069252014,0.016400277614593506,8.082386016845703,0.026927709579467773,290.95777297019958,"{'heads': 7, 'dim': 189, 'depth': 1, 'mlp_dim': 211, 'dropout': 0.29474633141813616, 'learning_rate': 0.01482684684190629, 'batch_size': 256, 'num_epochs': 24}"
